tipo,id_supabase,curso_supabase,chave_supabase,periodo_site_meses,preco_desconto_site_R$,preco_cheio_site_R$,preco_desconto_supabase_preco_com_desconto,preco_cheio_supabase,campo_grad_ou_pos_supabase,match_catalogo,status,observacoes,url_fonte
pos,137,MBA em Operações e Logística,MBA em Operações e LogísticaEAD,6,187,623.33,33,623,187,exato: MBA em Operações e Logística,divergente_campo_desconto,preco_com_desconto_aparenta_coluna_errada; valor_correto_parece_estar_em_grad_ou_pos; atualizar_preco_com_desconto_de_grad_ou_pos,https://mg.sumare.edu.br/pos-graduacao/ead
pos,138,Pós-Graduação em Psicologia Organizacional e do Trabalho,Pós-Graduação em Psicologia Organizacional e do TrabalhoEAD,6,187,623.33,33,623,187,exato: Pós-Graduação em Psicologia Organizacional e do Trabalho,divergente_campo_desconto,preco_com_desconto_aparenta_coluna_errada; valor_correto_parece_estar_em_grad_ou_pos; atualizar_preco_com_desconto_de_grad_ou_pos,https://mg.sumare.edu.br/pos-graduacao/ead
pos,139,Pós-Graduação em Fiscalização Urbana,Pós-Graduação em Fiscalização UrbanaEAD,6,399,997.5,5,997,399,exato: Pós-Graduação em Fiscalização Urbana,divergente_campo_desconto,valor_correto_parece_estar_em_grad_ou_pos; atualizar_preco_com_desconto_de_grad_ou_pos,https://mg.sumare.edu.br/pos-graduacao/ead
pos,140,Pós-Graduação em Análise e Projeto de Sistemas,Pós-Graduação em Análise e Projeto de SistemasEAD,6,187,623.33,33,623,187,exato: Pós-graduação em Análise e Projeto de Sistemas,divergente_campo_desconto,preco_com_desconto_aparenta_coluna_errada; valor_correto_parece_estar_em_grad_ou_pos; atualizar_preco_com_desconto_de_grad_ou_pos,https://mg.sumare.edu.br/pos-graduacao/ead
pos,141,Pós-Graduação em Ciência de Dados,Pós-Graduação em Ciência de DadosEAD,6,187,623.33,33,623,187,exato: Pós-Graduação em Ciência de Dados,divergente_campo_desconto,preco_com_desconto_aparenta_coluna_errada; valor_correto_parece_estar_em_grad_ou_pos; atualizar_preco_com_desconto_de_grad_ou_pos,https://mg.sumare.edu.br/pos-graduacao/ead
pos,142,Pós-Graduação em Segurança da Informação,Pós-Graduação em Segurança da InformaçãoEAD,6,187,623.33,33,623,187,exato: Pós-Graduação em Segurança da Informação,divergente_campo_desconto,preco_com_desconto_aparenta_coluna_errada; valor_correto_parece_estar_em_grad_ou_pos; atualizar_preco_com_desconto_de_grad_ou_pos,https://mg.sumare.edu.br/pos-graduacao/ead
pos,143,Pós-Graduação em Educação Especial e Inclusiva,Pós-Graduação em Educação Especial e InclusivaEAD,,,,65,636,191,,sem_match_site,preco_com_desconto_aparenta_coluna_errada; NAO_ENCONTRADO_NO_CATALOGO_OFICIAL,https://mg.sumare.edu.br/pos-graduacao/ead
pos,144,Pós-Graduação em Alfabetização e Letramento,Pós-Graduação em Alfabetização e LetramentoEAD,,,,65,636,191,,sem_match_site,preco_com_desconto_aparenta_coluna_errada; NAO_ENCONTRADO_NO_CATALOGO_OFICIAL,https://mg.sumare.edu.br/pos-graduacao/ead
pos,145,Pós-Graduação em Neuropsicopedagogia,Pós-Graduação em NeuropsicopedagogiaEAD,6,187,623.33,65,636,191,parcial(50%): Pós-Graduação em Psicopedagogia com Ênfase em Psicomotricidade,divergente,preco_com_desconto_aparenta_coluna_errada; desconto_db=65_extra=191_site=187; cheio_db=636_site=623.33,https://mg.sumare.edu.br/pos-graduacao/ead
pos,146,Pós-Graduação em Coordenação Pedagógica e Gestão Estratégica de Instituições de Ensino,Pós-Graduação em Coordenação Pedagógica e Gestão Estratégica de Instituições de EnsinoEAD,6,187,623.33,65,636,191,parcial(67%): Pós-Graduação em Ensino Lúdico,divergente,preco_com_desconto_aparenta_coluna_errada; desconto_db=65_extra=191_site=187; cheio_db=636_site=623.33,https://mg.sumare.edu.br/pos-graduacao/ead
pos,147,Tecnologias e Metodologias Ativas para o Ensino a DistânciaEAD,Pós-Graduação em Educação Digital,,,,Tecnologias e Metodologias Ativas para o Ensino a Distância,Pós-Graduação em Educação Digital,636,,sem_match_site,REGISTRO_CORROMPIDO(colunas deslocadas); NAO_ENCONTRADO_NO_CATALOGO_OFICIAL,https://mg.sumare.edu.br/pos-graduacao/ead
pos,148,Pós-Graduação em Educação para o Transtorno do Espectro Autista (TEA),Pós-Graduação em Educação para o Transtorno do Espectro Autista (TEA)EAD,,,,65,636,191,,sem_match_site,preco_com_desconto_aparenta_coluna_errada; NAO_ENCONTRADO_NO_CATALOGO_OFICIAL,https://mg.sumare.edu.br/pos-graduacao/ead
pos,149,Pós-Graduação em Psicopedagogia Institucional e Clínica,Pós-Graduação em Psicopedagogia Institucional e ClínicaEAD,6,187,623.33,65,636,191,parcial(50%): Pós-Graduação em Psicopedagogia com Ênfase em Psicomotricidade,divergente,preco_com_desconto_aparenta_coluna_errada; desconto_db=65_extra=191_site=187; cheio_db=636_site=623.33,https://mg.sumare.edu.br/pos-graduacao/ead
pos,150,Pós-Graduação em Engenharia da Produção e Manutenção,Pós-Graduação em Engenharia da Produção e ManutençãoEAD,,,,65,636,191,,sem_match_site,preco_com_desconto_aparenta_coluna_errada; NAO_ENCONTRADO_NO_CATALOGO_OFICIAL,https://mg.sumare.edu.br/pos-graduacao/ead
