curso_id,curso_nome,modalidade,nivel,url_pagina,fonte_dados,pagina_carrossel,ordem_na_pagina,ordem_global,disciplina,texto_intro_secao
ead-ensino-ludico,Ensino Lúdico,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-ensino-ludico,html,1,1,1,Processos de Aprendizagem - 60hs,"As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!"
ead-ensino-ludico,Ensino Lúdico,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-ensino-ludico,html,1,2,2,Criatividade e Competências Socioemocionais na Educação - 60hs,
ead-ensino-ludico,Ensino Lúdico,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-ensino-ludico,html,1,3,3,Desenvolvimento da Criança - 60hs,
ead-ensino-ludico,Ensino Lúdico,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-ensino-ludico,html,1,4,4,Ludicidade e Práticas Pedagógicas - 60hs,
ead-ensino-ludico,Ensino Lúdico,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-ensino-ludico,html,1,5,5,Aprendizagem Lúdica - 60hs,
ead-ensino-ludico,Ensino Lúdico,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-ensino-ludico,html,1,6,6,Ludopedagogia: Brincar e aprender - 60hs,
ead-gestao-escolar-foco-recursos-humanos,Gestão Escolar com foco em Recursos Humanos,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-gestao-escolar-foco-recursos-humanos,html,1,1,1,Estratégia Empresarial - 60hs,"As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!"
ead-gestao-escolar-foco-recursos-humanos,Gestão Escolar com foco em Recursos Humanos,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-gestao-escolar-foco-recursos-humanos,html,1,2,2,Gestão Estratégica de Pessoas e Habilidade Gerenciais - 60hs,
ead-gestao-escolar-foco-recursos-humanos,Gestão Escolar com foco em Recursos Humanos,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-gestao-escolar-foco-recursos-humanos,html,1,3,3,Treinamento e Desenvolvimento no Ambiente de Trabalho - 60hs,
ead-gestao-escolar-foco-recursos-humanos,Gestão Escolar com foco em Recursos Humanos,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-gestao-escolar-foco-recursos-humanos,html,1,4,4,Gestão de Sistemas Educacionais - 60hs,
ead-gestao-escolar-foco-recursos-humanos,Gestão Escolar com foco em Recursos Humanos,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-gestao-escolar-foco-recursos-humanos,html,1,5,5,Gestão Estratégica Educacional - 60hs,
ead-gestao-escolar-foco-recursos-humanos,Gestão Escolar com foco em Recursos Humanos,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-gestao-escolar-foco-recursos-humanos,html,1,6,6,Paradigmas Educacionais e Tendências Contemporâneas no Ensino - 60hs,
ead-libras-deficiencia-auditiva,Deficiência Auditiva (LIBRAS),EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-libras-deficiencia-auditiva,html,1,1,1,Criatividade e Competências Socioemocionais na Educação - 60hs,"As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!"
ead-libras-deficiencia-auditiva,Deficiência Auditiva (LIBRAS),EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-libras-deficiencia-auditiva,html,1,2,2,Desenvolvimento da Criança e do Adolescente - 60hs,
ead-libras-deficiencia-auditiva,Deficiência Auditiva (LIBRAS),EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-libras-deficiencia-auditiva,html,1,3,3,Educação Inclusiva: Fundamentos e Adequações Metodológicas e Curriculares - 60hs,
ead-libras-deficiencia-auditiva,Deficiência Auditiva (LIBRAS),EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-libras-deficiencia-auditiva,html,1,4,4,Alfabetização e Letramento de Surdos - 60hs,
ead-libras-deficiencia-auditiva,Deficiência Auditiva (LIBRAS),EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-libras-deficiencia-auditiva,html,1,5,5,Lingua Brasileira de Sinais (LIBRAS) - 60hs,
ead-libras-deficiencia-auditiva,Deficiência Auditiva (LIBRAS),EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-libras-deficiencia-auditiva,html,1,6,6,"Diversidade na Educação, Culturas e Comportamentos - 60hs",
ead-mba-em-financas-corporativas,MBA em Finanças Corporativas,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-financas-corporativas,html,1,1,1,Estratégia Empresarial - 60hs,"As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!"
ead-mba-em-financas-corporativas,MBA em Finanças Corporativas,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-financas-corporativas,html,1,2,2,Empreendedorismo e Plano de Negócios - 60hs,
ead-mba-em-financas-corporativas,MBA em Finanças Corporativas,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-financas-corporativas,html,1,3,3,Gestão do Capital de Giro - 60hs,
ead-mba-em-financas-corporativas,MBA em Finanças Corporativas,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-financas-corporativas,html,1,4,4,Planejamento e Contabilidade Tributária - 60hs,
ead-mba-em-financas-corporativas,MBA em Finanças Corporativas,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-financas-corporativas,html,1,5,5,Avaliação de Empresas - 60hs,
ead-mba-em-financas-corporativas,MBA em Finanças Corporativas,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-financas-corporativas,html,1,6,6,Controladoria Estratégica - 60hs,
ead-mba-em-gestao-da-qualidade,MBA em Gestão da Qualidade,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-gestao-da-qualidade,html,1,1,1,Estratégia Empresarial - 60hs,"As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!"
ead-mba-em-gestao-da-qualidade,MBA em Gestão da Qualidade,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-gestao-da-qualidade,html,1,2,2,Empreendedorismo e Plano de Negócios - 60hs,
ead-mba-em-gestao-da-qualidade,MBA em Gestão da Qualidade,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-gestao-da-qualidade,html,1,3,3,Gestão Corporativa: Business Administration - 60hs,
ead-mba-em-gestao-da-qualidade,MBA em Gestão da Qualidade,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-gestao-da-qualidade,html,1,4,4,Gestão da Qualidade - 60hs,
ead-mba-em-gestao-da-qualidade,MBA em Gestão da Qualidade,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-gestao-da-qualidade,html,1,5,5,Sistemas de Controle da Qualidade - 60hs,
ead-mba-em-gestao-da-qualidade,MBA em Gestão da Qualidade,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-gestao-da-qualidade,html,1,6,6,Ferramentas da Qualidade - 60hs,
ead-mba-em-gestao-de-projetos,MBA em Gestão de Projeto,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-gestao-de-projetos,html,1,1,1,Estratégia Empresarial - 60hs,"As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!"
ead-mba-em-gestao-de-projetos,MBA em Gestão de Projeto,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-gestao-de-projetos,html,1,2,2,Empreendedorismo e Plano de Negócios - 60hs,
ead-mba-em-gestao-de-projetos,MBA em Gestão de Projeto,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-gestao-de-projetos,html,1,3,3,Práticas Avançadas em Gestão - 60hs,
ead-mba-em-gestao-de-projetos,MBA em Gestão de Projeto,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-gestao-de-projetos,html,1,4,4,"Gerenciamento da Integração, Escopo e Cronograma - 60hs",
ead-mba-em-gestao-de-projetos,MBA em Gestão de Projeto,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-gestao-de-projetos,html,1,5,5,"Gerenciamento dos Recursos, Custos, Comunicações e Partes Interessadas - 60hs",
ead-mba-em-gestao-de-projetos,MBA em Gestão de Projeto,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-gestao-de-projetos,html,1,6,6,Gerenciamento da Qualidade e Riscos - 60hs,
ead-mba-em-gestao-empresarial,MBA em Gestão Empresarial,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-gestao-empresarial,html,1,1,1,Estratégia Empresarial - 60hs,"As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!"
ead-mba-em-gestao-empresarial,MBA em Gestão Empresarial,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-gestao-empresarial,html,1,2,2,Empreendedorismo e Plano de Negócios - 60hs,
ead-mba-em-gestao-empresarial,MBA em Gestão Empresarial,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-gestao-empresarial,html,1,3,3,Gestão Corporativa: Business Administration - 60hs,
ead-mba-em-gestao-empresarial,MBA em Gestão Empresarial,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-gestao-empresarial,html,1,4,4,Desenvolvimento de Organizações Inteligentes - 60hs,
ead-mba-em-gestao-empresarial,MBA em Gestão Empresarial,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-gestao-empresarial,html,1,5,5,Gestão por Processos (Business Process Management) - 60hs,
ead-mba-em-gestao-empresarial,MBA em Gestão Empresarial,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-gestao-empresarial,html,1,6,6,Práticas Avançadas em Gestão - 60hs,
ead-mba-em-lideranca-e-gestao-de-pessoas,MBA em Liderança e Gestão de Pessoas,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-lideranca-e-gestao-de-pessoas,html,1,1,1,Estratégia Empresarial - 60hs,"As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!"
ead-mba-em-lideranca-e-gestao-de-pessoas,MBA em Liderança e Gestão de Pessoas,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-lideranca-e-gestao-de-pessoas,html,1,2,2,Empreendedorismo e Plano de Negócios - 60hs,
ead-mba-em-lideranca-e-gestao-de-pessoas,MBA em Liderança e Gestão de Pessoas,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-lideranca-e-gestao-de-pessoas,html,1,3,3,Gestão Estratégica de Pessoas e Habilidade Gerenciais - 60hs,
ead-mba-em-lideranca-e-gestao-de-pessoas,MBA em Liderança e Gestão de Pessoas,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-lideranca-e-gestao-de-pessoas,html,1,4,4,Desenvolvimento de Equipes - 60hs,
ead-mba-em-lideranca-e-gestao-de-pessoas,MBA em Liderança e Gestão de Pessoas,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-lideranca-e-gestao-de-pessoas,html,1,5,5,Liderança e Coaching - 60hs,
ead-mba-em-lideranca-e-gestao-de-pessoas,MBA em Liderança e Gestão de Pessoas,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-lideranca-e-gestao-de-pessoas,html,1,6,6,Treinamento e Desenvolvimento no Ambiente de Trabalho - 60hs,
ead-mba-em-negocios-e-vendas,MBA em Negócios e Vendas,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-negocios-e-vendas,html,1,1,1,Estratégia Empresarial - 60hs,"As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!"
ead-mba-em-negocios-e-vendas,MBA em Negócios e Vendas,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-negocios-e-vendas,html,1,2,2,Empreendedorismo e Plano de Negócios - 60hs,
ead-mba-em-negocios-e-vendas,MBA em Negócios e Vendas,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-negocios-e-vendas,html,1,3,3,Gerencia e Estratégias de Negócios em Vendas - 60hs,
ead-mba-em-negocios-e-vendas,MBA em Negócios e Vendas,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-negocios-e-vendas,html,1,4,4,Comportamento do Consumidor - 60hs,
ead-mba-em-negocios-e-vendas,MBA em Negócios e Vendas,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-negocios-e-vendas,html,1,5,5,Promoção e Técnicas em Vendas - 60hs,
ead-mba-em-negocios-e-vendas,MBA em Negócios e Vendas,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-negocios-e-vendas,html,1,6,6,Negociações e Comunicações - 60hs,
ead-mba-em-operacoes-e-logistica,MBA em Operações e Logística,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-operacoes-e-logistica,html,1,1,1,Estratégia Empresarial - 60hs,"As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!"
ead-mba-em-operacoes-e-logistica,MBA em Operações e Logística,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-operacoes-e-logistica,html,1,2,2,Empreendedorismo e Plano de Negócios - 60hs,
ead-mba-em-operacoes-e-logistica,MBA em Operações e Logística,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-operacoes-e-logistica,html,1,3,3,Gestão Corporativa: Business Administration - 60hs,
ead-mba-em-operacoes-e-logistica,MBA em Operações e Logística,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-operacoes-e-logistica,html,1,4,4,Operações Logísticas Integradas - 60hs,
